URL,Title, Status
https://www.jobpub.com/,"JobPub","ongoing"
https://www.jobthai.com/,"JobThai","awaiting"
https://th.jobsdb.com/,"JobsDB","awaiting"
https://www.jobbkk.com/,"JOBBKK","awaiting"
https://www.jobth.com/,"JobTH","awaiting"
https://www.jobtopgun.com/,"JOBTOPGUN","awaiting"
https://smartjob.doe.go.th/,"Smartjob","awaiting"
https://www.workventure.com/,"WorkVenture","awaiting"
https://daywork.co/,"Daywork","awaiting"
https://www.jobfinfin.com/,"JobFinFin","awaiting"
https://jobhack.co/,"JobHACK","awaiting"
https://www.jobmyway.com/,"Jobmyway","awaiting"
https://www.thaijob.com/,"ThaiJob","awaiting"
https://getlinks.com/,"GetLinks","awaiting"
https://www.nexmove.io/,"Nexmove","awaiting"
